1	7.6148	5366	2015
10	6.69579	8351	2185
1000	6.41481	54	25
100015	6.53108	37	10
10008	5.79545	44	41
100089	7.21013	79	70
1001	5.11766	218	76
100104	6.63989	158	45
10014	6.38571	35	34
100169	7.54191	159	90
1002	6.90056	460	229
10022	7.20833	72	31
100275	6.39818	55	40
100278	6.36275	51	12
10033	5.76842	57	24
100374	4.85676	37	17
10038	6.95	39	36
1004	5.7785	100	31
100423	6.9778	23119	4590
10043	4.61441	111	55
100447	6.17595	79	17
100470	5.85366	41	14
100473	6.80885	130	44
10052	5.8	30	15
10065	6.63859	80	34
100670	5.09547	53	27
100679	6.69602	1220	244
1007	5.66677	164	62
100734	6.4196	721	209
10075	5.3314	43	19
100758	5.5625	72	15
100795	6.64198	81	20
100798	7.06889	45	14
10081	6.42617	2040	665
10084	6.27	53	30
10090	5.15156	45	15
100901	7.19203	21960	4312
10093	6.69625	5895	1512
10094	4.80392	51	15
10095	6.01613	31	15
10096	6.62691	81	22
101	6.77773	1097	486
101013	6.48935	618	221
10102	6.79054	74	57
101020	6.767	818	265
10104	5.37636	55	20
1011	4.89091	77	31
101118	7.16486	70	39
1012	5.76065	155	51
101206	7.33145	62	53
101239	5.6125	64	22
1013	6.65714	70	31
101335	4.6	105	30
1014	6.81663	152	36
10140	5.81976	259	100
101420	4.50842	76	18
101463	6.79355	62	23
10149	6.80137	146	86
101519	5.0875	40	13
10152	5.18108	37	19
101539	6.71333	30	19
10156	7.66266	277	149
101628	5.64839	31	36
101629	5.54516	31	37
10164	5.98189	579	144
101644	8.49194	62	18
101660	5.90196	46	10
101668	6.77273	33	6
10167	6.18323	1457	348
10168	7.77656	64	52
101682	7.994	225	98
101685	5.91292	89	31
1017	6.71411	929	432
10171	5.97927	82	11
101718	5.42412	255	82
101721	7.62277	7555	1735
101723	6.54878	41	13
101737	4.68638	354	137
10174	7.65835	289	181
10175	5.66127	44	21
101766	5.74244	41	34
101785	6.83504	3507	1064
101786	7.33558	452	107
101796	6.17998	318	113
10183	7.41101	252	184
10186	6.93091	110	65
101865	7.94218	321	89
101872	7.86897	35	26
10188	6.42682	39	29
1019	6.31081	37	9
101929	7.67801	241	98
101930	5.70229	516	199
101954	4.82449	49	22
10196	5.53618	228	103
101988	4.73431	137	108
102	6.21013	895	366
10203	5.51316	76	29
10206	6.04751	1133	362
102104	6.34484	5183	856
102107	6.13641	291	93
10213	4.74259	263	130
10214	5.95556	45	55
102144	7.28052	249	54
102145	6.53666	32	33
102148	6.49812	1432	386
10215	6.14194	31	37
102151	6.28061	98	55
102159	6.88438	96	52
102181	6.31974	764	206
10221	6.52778	54	26
102219	6.29703	165	46
102237	6.66867	2384	493
102253	7.29412	34	21
10226	7.79124	187	88
102275	6.88398	128	96
10230	7.61628	43	23
10234	6.4855	111	98
102346	7.19268	41	37
10236	6.52627	59	46
102435	7.97944	906	405
10244	7.85576	76	42
10245	7.91364	44	31
10248	7.84074	57	28
102548	6.81713	6084	1085
10256	5.94839	62	48
10257	5.30488	41	42
10258	6.0122	41	46
10261	6.55	61	58
102610	6.74356	427	131
10262	6.57549	102	82
102631	6.84871	122	14
10264	6.469	50	57
10265	5.98952	62	62
102652	7.19884	15194	3556
10266	6.86111	36	19
10267	6.37552	96	83
102676	6.8122	41	15
10268	7.18182	44	21
102680	7.75699	15575	2838
102681	6.5528	243	57
10269	6.61443	97	79
102690	6.63631	263	79
102698	7.77406	32	17
1027	5.68333	30	9
10270	4.72813	32	14
10272	6.88102	108	68
10275	5.0	34	16
102792	5.70382	200	59
102794	8.00149	29797	4813
1028	5.94741	116	38
10282	4.85484	31	13
10283	5.36159	157	116
102835	5.86435	914	307
102859	5.02447	155	48
102881	7.84537	136	74
102897	6.12381	774	264
102898	6.61256	911	266
1029	6.52	40	16
10291	5.46727	117	40
10293	5.48286	412	109
102940	5.85918	258	103
102965	4.98438	32	12
103	6.96883	3908	1566
10300	6.5437	81	57
10301	6.44535	86	58
103016	6.59157	35	16
10303	4.83056	36	25
103039	7.23689	45	42
10304	5.94217	83	49
10306	5.2675	40	10
103061	6.9378	247	88
10307	7.47941	34	15
103077	5.53396	71	19
10308	6.23077	65	32
103091	6.64917	582	156
103092	6.97611	1984	469
1031	5.58457	278	120
10310	7.5898	49	23
103132	6.75482	842	219
103184	6.48617	444	185
103185	6.98047	2218	617
103191	5.39254	201	90
1032	7.08421	1956	896
10320	4.08617	162	78
10323	6.59284	141	33
103235	6.1413	398	141
103236	5.98476	105	26
10325	4.29153	59	26
10326	6.28566	53	18
103261	4.76537	165	55
1033	6.68437	32	30
103327	4.55673	52	27
103328	6.04791	86	25
103339	7.94675	276	144
103343	7.57953	30266	4466
103368	6.80387	283	127
103402	4.40909	77	29
103405	4.57508	61	25
10341	5.56833	60	30
10345	5.18605	43	20
10346	6.78353	85	59
103469	7.00883	214	62
10348	6.36486	37	45
1035	7.5254	3234	1254
10353	5.91176	34	18
10354	5.77027	37	29
10355	4.47987	68	29
103573	4.69231	39	11
1036	6.68625	794	252
10361	6.84896	48	38
103638	5.64512	127	44
103640	5.25029	38	10
103649	6.53482	2225	604
103651	6.38153	479	169
103660	6.85987	1123	374
103666	6.75907	162	25
103670	7.55541	148	38
10368	5.20588	34	20
103686	6.67137	1771	448
103687	5.41026	39	18
1037	7.24994	642	283
103714	5.52173	228	104
103745	6.10179	56	36
103752	7.27679	56	18
103755	6.34697	33	11
10376	7.53046	87	56
103783	6.96364	55	19
1038	6.32546	1958	537
103806	5.75652	66	27
103807	6.47	63	14
103811	5.41739	46	14
103814	6.48718	322	75
103828	5.41127	96	32
10383	6.27209	2519	760
103830	7.21458	72	33
103843	6.06154	104	37
103844	5.39267	75	33
10386	5.83804	92	50
103877	6.46084	382	104
103883	6.33062	129	47
103885	7.67086	23718	3920
103886	7.18375	5469	1218
10392	5.7	35	27
103922	4.93731	67	28
103937	5.91435	115	53
10394	7.1875	40	25
103975	6.43571	98	30
104	7.00167	257	127
10400	4.85737	424	148
104006	7.51602	21171	3453
104012	6.67937	63	19
104020	7.21064	2619	595
104029	5.99268	41	21
104063	5.90118	241	72
1041	7.16999	4322	1424
10414	4.77596	52	20
104162	7.66731	23640	3950
10419	4.94091	44	19
1042	6.43377	3136	1022
104234	5.60315	240	70
104239	6.24912	57	12
10424	4.7375	40	19
1043	6.24667	75	30
10431	7.61464	269	97
10432	4.90625	32	18
104340	6.24714	192	63
104347	6.89745	4361	776
104351	5.77746	71	64
104353	6.3082	61	65
104363	7.0803	4309	1047
104376	5.99026	190	61
104377	6.34144	758	185
1044	7.13173	1015	478
10445	6.2632	229	90
10447	7.56452	31	12
104498	6.94424	143	60
1045	6.37105	57	26
10450	4.67042	71	25
10453	4.76329	360	114
104553	7.21557	61	22
104555	5.94506	342	85
104558	6.02844	90	24
104573	6.4431	690	245
104575	6.15922	436	158
104581	7.00171	1431	413
10459	5.625	36	22
104617	5.42896	138	49
10462	3.62838	37	16
104627	7.1084	353	109
10463	6.17742	31	25
104633	5.64186	221	92
104640	7.05554	202	49
104655	5.90874	397	153
10467	6.46128	161	52
1047	7.33143	35	38
10470	7.13942	52	30
10471	5.93636	66	49
104710	7.05612	4764	1067
10472	5.84833	120	105
104736	6.90141	99	15
104769	6.03718	91	13
104775	6.31317	80	40
104780	6.1613	131	40
104798	6.19909	55	23
104805	6.26677	440	140
104809	5.78182	55	23
104813	5.81081	37	23
104814	6.12444	35	13
104858	6.28571	49	15
104955	7.07466	1708	502
10496	6.10082	1200	560
104994	6.50606	973	282
105	6.76889	7053	2369
105004	6.01226	62	24
10501	7.74671	189	94
10502	5.05794	501	170
105023	6.89523	239	131
105024	7.99174	121	50
105037	6.99255	3043	804
10508	5.93714	70	32
10511	4.975	40	23
105123	4.68246	57	9
105134	7.4085	7839	1693
10518	4.86955	66	31
105187	6.57776	688	205
105199	5.9693	455	122
10520	5.96776	380	130
10523	6.4177	273	151
10525	7.03519	81	40
105265	6.01704	226	52
10527	6.62728	390	130
105280	6.10606	33	10
10529	7.72581	31	15
1053	6.23333	69	30
105305	6.12531	49	27
10533	6.11273	55	57
10534	6.15604	182	137
10537	5.3561	41	18
1054	6.275	40	26
10543	6.04231	39	31
105434	5.49211	38	10
10547	7.05682	39652	8335
10550	6.86633	1419	483
10551	6.45937	80	34
105550	5.61636	55	12
105551	7.3331	7647	1861
10557	6.31842	57	32
10559	6.13081	396	199
105593	6.42107	3305	562
1056	4.73333	30	13
105602	5.93507	79	37
10561	6.96042	48	47
105624	6.83283	790	287
10564	6.67179	78	60
10565	5.45574	111	37
10570	5.32895	38	27
10573	6.35424	59	28
10574	5.67	40	14
10575	5.2817	112	50
10578	5.32464	69	25
10579	7.05677	133	79
10581	7.29146	82	65
10582	4.84211	38	12
10584	6.78947	38	34
105864	6.57294	85	45
105866	6.30714	35	15
10589	6.21786	70	52
10590	5.58108	37	31
10593	5.43404	47	26
10599	4.83065	31	19
106	6.94325	3372	1197
10605	6.28519	54	14
10611	6.88235	34	20
106113	7.97732	97	67
10612	5.13333	54	24
10613	4.75922	130	69
106174	6.00294	136	60
10623	7.20632	174	102
