gameID,name,yearPublished,primaryPublisher,primaryCategory,minPlayers,maxPlayers,playingTime,usersRated,averageRating,owned,numComments,averageWeight
205896,Rising Sun,2018,CMON Global Limited,Bluffing,3,5,120,17503,7.83483,22845,2987,3.2825
171131,Captain Sonar,2016,Matagot,Deduction,2,8,60,17428,7.55405,24096,2946,2.1634
244522,That's Pretty Clever!,2018,Schmidt Spiele,Dice,1,4,30,17403,7.62365,26934,2469,1.884
113924,Zombicide,2012,CMON Global Limited,Horror,1,6,60,17283,7.14059,24644,2741,2.5435
209778,Magic Maze,2017,Sit Down!,Exploration,1,8,15,17274,7.01784,26428,2455,1.7569
160477,Onitama,2014,conception,Abstract Strategy,2,2,20,17209,7.38691,25932,2968,1.6835
25669,Qwirkle,2006,MindWare,Abstract Strategy,2,4,45,17197,6.77722,31076,3559,1.6169
127023,Kemet,2012,Matagot,Ancient,2,5,120,17193,7.70222,19420,2883,2.9971
28023,Jamaica,2007,GameWorks SàRL,Nautical,2,6,60,17115,7.05614,23270,3473,1.6516
163967,Tiny Epic Galaxies,2015,Gamelyn Games,Dice,1,5,45,17116,7.36259,30491,3037,2.1554
239188,Chronicles of Crime,2018,Lucky Duck Games,Adventure,1,4,90,17122,7.73296,28591,2953,2.0722
118048,Targi,2012,KOSMOS,Card Game,2,2,60,16988,7.64216,26418,2911,2.3558
194594,Dice Forge,2017,Libellud,Ancient,2,4,45,16967,7.27204,25958,2434,1.9661
312484,Lost Ruins of Arnak,2020,Czech Games Edition,Adventure,1,4,120,16933,8.11465,27514,2331,2.8541
62871,Zombie Dice,2010,Steve Jackson Games,Dice,2,99,20,16811,6.2167,32001,3353,1.0991
24480,The Pillars of the Earth,2006,KOSMOS,Economic,2,4,120,16790,7.28262,20688,3651,2.8209
147151,Concept,2013,Repos Production,Deduction,4,12,40,16770,6.80473,26470,2587,1.3912
216132,Clans of Caledonia,2017,Karma Games,Economic,1,4,120,16724,7.98675,19267,2550,3.4588
263918,Cartographers,2019,Thunderworks Games,Fantasy,1,100,45,16729,7.71772,29933,2272,1.8842
224037,Codenames: Duet,2017,Czech Games Edition,Card Game,2,2,30,16718,7.53448,33277,2442,1.3454
92415,Skull,2011,Lui-même,Bluffing,3,6,45,16547,7.2041,24584,2730,1.1325
258,Fluxx,1997,Looney Labs,Card Game,2,6,30,16508,5.67209,28025,4155,1.3893
127398,Legends of Andor,2012,KOSMOS,Adventure,2,4,90,16290,7.18335,27729,2860,2.7655
760,Battle Line,2000,GMT Games,Ancient,2,2,30,16174,7.41393,19787,4706,1.8992
21763,Mr. Jack,2006,Hurrican,Deduction,2,2,30,16109,6.99947,20533,3497,2.1764
9674,Ingenious,2004,KOSMOS,Abstract Strategy,1,4,45,16056,7.11718,19572,4037,1.9135
233078,Twilight Imperium: Fourth Edition,2017,Fantasy Flight Games,Civilization,3,6,480,16036,8.67603,20542,2456,4.261
